gender,parental level of education,math score,reading score,writing score,lunch_standard,test preparation course_none,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E
1,0,70,64,72,True,True,False,True,False,False,False
1,3,77,89,98,False,False,False,False,False,True,False
0,1,62,55,49,True,True,False,False,True,False,False
0,3,54,53,47,True,True,True,False,False,False,False
1,2,51,58,54,True,True,False,False,False,True,False
1,4,99,100,100,True,False,False,False,False,False,True
0,1,84,77,74,True,True,False,False,True,False,False
1,4,75,85,82,False,True,False,True,False,False,False
1,4,78,82,79,True,True,False,False,False,True,False
1,0,51,63,61,True,True,False,False,False,True,False
1,2,55,69,65,True,True,False,False,True,False,False
1,4,79,92,89,True,False,False,False,True,False,False
0,3,91,89,92,True,False,False,True,False,False,False
1,2,88,93,93,True,False,False,False,True,False,False
0,1,63,57,56,False,True,False,False,False,True,False
0,2,83,80,73,True,True,False,False,False,False,True
1,1,87,95,86,True,True,False,True,False,False,False
0,0,72,68,67,True,True,False,True,False,False,False
0,2,65,77,74,True,False,False,False,False,True,False
0,5,82,82,74,True,True,False,False,False,True,False
1,4,51,49,51,True,True,True,False,False,False,False
0,5,89,84,82,True,True,False,False,False,True,False
0,0,53,37,40,False,False,False,False,True,False,False
0,2,87,74,70,False,False,False,False,False,False,True
1,2,75,81,84,True,False,False,False,True,False,False
0,4,74,79,75,False,False,False,False,False,True,False
0,4,58,55,48,True,True,False,False,True,False,False
0,0,51,54,41,True,False,False,True,False,False,False
0,1,70,55,56,True,True,False,False,False,False,True
1,3,59,66,67,True,True,False,False,True,False,False
0,2,71,61,69,True,False,False,False,False,True,False
1,0,76,72,71,True,True,False,False,False,True,False
1,2,59,62,64,False,True,False,False,True,False,False
1,2,42,55,54,False,False,False,False,False,False,True
0,1,57,43,47,True,True,True,False,False,False,False
0,2,88,73,78,True,True,False,False,False,True,False
1,2,22,39,33,False,True,False,False,True,False,False
0,0,88,84,75,True,True,False,True,False,False,False
0,3,73,68,66,False,True,False,False,True,False,False
1,4,68,75,81,True,False,False,False,False,True,False
0,3,100,100,93,False,False,False,False,False,False,True
0,0,62,67,69,True,False,True,False,False,False,False
0,4,77,67,68,True,True,True,False,False,False,False
1,3,59,70,66,True,False,False,True,False,False,False
0,4,54,49,47,True,True,False,False,False,True,False
0,0,62,67,61,True,True,False,False,False,True,False
1,2,70,89,88,True,False,False,False,True,False,False
1,1,66,74,78,False,False,False,False,False,False,True
0,2,60,60,60,False,True,False,True,False,False,False
1,3,61,86,87,True,False,False,True,False,False,False
0,3,66,62,64,False,True,False,False,False,True,False
0,3,82,78,74,False,False,False,True,False,False,False
1,2,75,88,85,False,False,False,False,False,False,True
0,5,49,53,52,False,True,False,True,False,False,False
0,1,52,53,49,True,True,False,False,True,False,False
1,5,81,92,91,True,True,False,False,False,False,True
1,4,96,100,100,True,False,False,False,True,False,False
0,1,53,51,51,False,False,False,False,True,False,False
1,5,58,76,78,False,False,False,True,False,False,False
1,1,68,83,78,True,False,False,True,False,False,False
1,2,67,75,70,False,False,False,False,True,False,False
0,1,72,73,74,True,False,True,False,False,False,False
0,0,94,88,78,True,True,False,False,False,False,True
1,2,79,86,81,True,True,False,False,False,True,False
1,3,63,67,70,True,True,False,False,True,False,False
1,4,43,51,54,False,False,False,False,True,False,False
1,5,81,91,87,True,False,False,False,True,False,False
1,1,46,54,58,False,False,False,True,False,False,False
1,3,71,77,77,True,False,False,False,True,False,False
1,5,52,70,62,False,False,False,True,False,False,False
1,0,97,100,100,True,False,False,False,False,True,False
0,5,62,68,75,False,False,False,False,True,False,False
1,2,46,64,66,False,True,False,False,True,False,False
1,1,50,50,47,True,True,False,False,False,False,True
1,3,65,69,70,True,True,False,False,False,True,False
0,0,45,52,49,False,False,False,False,True,False,False
0,3,65,67,65,False,False,False,False,True,False,False
0,1,80,76,65,True,True,False,False,False,False,True
0,0,62,66,68,True,False,False,False,False,True,False
0,0,48,52,45,False,True,False,True,False,False,False
1,4,77,88,87,True,True,False,False,True,False,False
1,3,66,65,69,True,True,False,False,False,False,True
0,2,76,83,79,True,False,False,False,False,True,False
1,0,62,64,66,True,True,False,True,False,False,False
0,2,77,62,62,True,False,False,False,False,True,False
1,5,69,84,85,True,False,False,False,True,False,False
0,3,61,55,52,True,True,False,False,False,True,False
0,0,59,69,65,False,False,False,False,True,False,False
0,1,55,56,51,False,True,False,False,False,False,True
1,2,45,53,55,False,True,False,True,False,False,False
1,4,78,79,76,False,True,False,True,False,False,False
1,3,67,84,86,True,False,False,False,True,False,False
1,2,65,81,77,False,True,False,False,False,True,False
0,3,69,77,69,True,True,False,False,True,False,False
1,3,57,69,68,True,True,False,True,False,False,False
0,2,59,41,42,True,True,False,False,True,False,False
0,0,74,71,78,True,False,False,False,False,True,False
0,4,82,62,62,True,True,False,False,False,False,True
0,1,81,80,76,True,False,False,False,False,False,True
1,2,74,81,76,False,True,False,True,False,False,False
1,2,58,61,66,False,True,False,True,False,False,False
0,0,80,79,79,False,False,False,False,False,True,False
0,2,35,28,27,False,True,False,False,True,False,False
1,1,42,62,60,False,True,False,False,True,False,False
0,3,60,51,56,False,False,False,False,True,False,False
0,1,87,91,81,True,False,False,False,False,False,True
0,0,84,83,75,True,False,False,True,False,False,False
1,3,83,86,88,False,False,False,False,False,False,True
1,1,34,42,39,False,True,False,False,True,False,False
0,1,66,77,70,False,True,False,True,False,False,False
0,0,61,56,56,True,False,False,True,False,False,False
1,1,56,68,74,True,False,False,False,False,True,False
0,3,87,85,73,True,True,False,True,False,False,False
1,0,55,65,62,False,True,False,False,True,False,False
0,0,86,80,75,True,True,False,False,False,True,False
1,3,52,66,73,True,False,False,True,False,False,False
1,5,45,56,54,False,True,False,False,False,False,True
1,2,72,72,71,True,True,False,False,True,False,False
0,1,57,50,54,True,True,False,False,False,True,False
0,0,68,72,64,False,True,True,False,False,False,False
1,2,88,95,94,True,False,False,False,True,False,False
0,2,76,64,66,True,True,False,False,False,True,False
0,3,46,43,42,True,True,False,False,True,False,False
1,4,67,86,83,True,True,False,True,False,False,False
0,0,92,87,78,True,True,False,False,False,False,True
0,4,83,82,84,True,False,False,False,True,False,False
0,3,80,75,77,True,True,False,False,False,True,False
0,4,63,66,67,False,True,False,False,False,True,False
1,0,64,60,74,True,False,False,False,False,True,False
0,2,54,52,51,True,True,False,True,False,False,False
0,3,84,80,80,True,True,False,False,True,False,False
0,1,73,68,66,False,False,False,False,False,True,False
1,4,80,83,83,True,True,False,False,False,False,True
1,1,56,52,55,True,True,False,False,False,True,False
0,2,59,51,43,True,True,False,False,False,False,True
0,0,75,74,69,True,True,False,False,False,True,False
0,3,85,76,71,True,True,False,False,True,False,False
0,3,89,76,74,True,True,False,False,False,False,True
1,1,58,70,68,True,False,False,True,False,False,False
1,1,65,64,62,True,True,False,True,False,False,False
0,1,68,60,53,True,True,False,False,True,False,False
0,0,47,49,49,True,False,True,False,False,False,False
1,2,71,83,83,False,True,False,False,False,True,False
1,0,60,70,70,True,False,False,True,False,False,False
0,5,80,80,72,True,True,False,False,False,True,False
0,1,54,52,52,True,True,False,False,False,True,False
1,2,62,73,70,True,True,False,False,False,False,True
1,3,64,73,68,False,True,False,False,True,False,False
0,3,78,77,77,True,False,False,False,True,False,False
1,2,70,75,78,True,True,False,True,False,False,False
1,5,65,81,81,False,False,False,False,True,False,False
1,0,64,79,77,False,False,False,False,True,False,False
0,2,79,79,78,True,False,False,False,True,False,False
1,0,44,50,51,False,True,False,False,True,False,False
1,1,99,93,90,True,True,False,False,False,False,True
0,1,76,73,68,True,True,False,False,False,True,False
0,0,59,42,41,False,True,False,False,False,True,False
1,4,63,75,81,True,True,False,False,True,False,False
1,1,69,72,77,True,True,False,False,False,True,False
1,3,88,92,95,True,False,False,False,False,True,False
1,2,71,76,70,False,True,False,False,False,False,True
0,4,69,63,61,True,True,False,False,True,False,False
0,2,58,49,42,True,True,False,False,True,False,False
1,3,47,53,58,False,True,False,False,False,True,False
1,2,65,70,71,True,True,False,False,False,True,False
0,2,88,85,76,True,False,False,True,False,False,False
0,4,83,78,73,True,True,False,False,True,False,False
1,0,85,92,93,True,False,False,False,True,False,False
1,1,59,63,75,True,False,False,False,False,False,True
1,0,65,86,80,False,True,False,False,True,False,False
0,4,73,56,57,False,True,False,True,False,False,False
0,1,53,52,42,True,True,False,False,False,True,False
0,1,45,48,46,True,True,False,False,False,True,False
1,4,73,79,84,False,True,False,False,False,True,False
1,2,70,78,78,False,False,False,False,False,True,False
1,0,37,46,46,True,True,False,True,False,False,False
0,3,81,82,82,True,False,False,True,False,False,False
0,3,97,82,88,True,False,False,False,False,False,True
1,0,67,89,82,True,True,False,True,False,False,False
0,4,88,75,76,False,True,False,True,False,False,False
0,0,77,76,77,True,False,False,False,False,False,True
0,3,76,70,68,True,True,False,False,True,False,False
0,0,86,73,70,True,True,False,False,False,True,False
0,0,63,60,57,True,False,False,False,True,False,False
1,4,65,73,75,True,True,False,False,False,False,True
0,1,78,77,80,False,False,False,False,False,True,False
0,3,67,62,60,False,True,False,True,False,False,False
0,0,46,41,43,True,False,True,False,False,False,False
0,3,71,74,68,True,False,False,False,False,False,True
0,1,40,46,50,False,False,False,False,True,False,False
0,3,90,87,75,False,True,False,False,False,True,False
0,2,81,78,81,False,False,True,False,False,False,False
0,0,56,54,52,False,True,False,False,False,True,False
1,3,67,84,81,True,False,False,False,True,False,False
0,3,80,76,64,True,True,False,True,False,False,False
1,3,74,75,83,True,False,False,False,True,False,False
0,2,69,67,69,True,True,True,False,False,False,False
0,2,99,87,81,True,False,False,False,False,False,True
0,0,51,52,44,True,True,False,False,True,False,False
1,3,53,71,67,False,True,False,True,False,False,False
1,1,49,57,52,False,True,False,False,False,True,False
1,3,73,76,80,True,True,False,True,False,False,False
0,4,66,60,57,True,True,False,True,False,False,False
0,4,67,61,68,True,False,False,False,False,True,False
1,3,68,67,69,False,False,False,False,True,False,False
1,4,59,64,75,True,False,False,False,True,False,False
0,1,71,66,65,True,True,False,False,True,False,False
1,5,77,82,91,True,False,False,False,False,True,False
0,3,83,72,78,True,True,False,False,True,False,False
0,4,63,71,69,True,True,False,True,False,False,False
1,3,56,65,63,False,True,False,False,False,True,False
1,1,67,79,84,False,False,False,False,True,False,False
1,1,75,86,79,True,True,False,False,False,False,True
1,2,71,81,80,True,True,False,False,True,False,False
1,0,43,53,53,False,True,False,False,True,False,False
1,1,41,46,43,False,True,False,False,True,False,False
1,2,82,90,94,True,True,False,False,True,False,False
0,2,61,61,62,True,True,False,False,True,False,False
0,2,28,23,19,False,True,True,False,False,False,False
0,3,82,75,77,True,False,False,False,True,False,False
1,0,41,55,51,True,True,False,True,False,False,False
0,1,71,60,61,True,True,False,False,True,False,False
0,3,47,37,35,True,True,False,False,True,False,False
0,3,62,56,53,True,False,False,False,False,False,True
0,3,90,78,81,True,True,False,True,False,False,False
1,4,83,93,95,True,True,False,False,True,False,False
1,2,61,68,66,False,True,False,True,False,False,False
0,0,76,70,69,True,False,False,False,False,True,False
0,3,49,51,43,True,True,False,False,True,False,False
1,0,24,38,27,False,True,False,True,False,False,False
1,0,35,55,60,False,False,False,False,False,True,False
0,1,58,61,52,False,True,False,False,True,False,False
1,1,61,73,63,True,True,False,False,True,False,False
1,1,69,76,74,True,False,False,True,False,False,False
0,3,67,72,67,True,False,False,False,False,True,False
0,2,79,73,67,True,True,False,False,False,True,False
1,1,72,80,75,True,True,False,False,True,False,False
0,2,62,61,57,True,True,False,True,False,False,False
1,4,77,94,95,True,False,False,False,True,False,False
0,1,75,74,66,False,True,False,False,False,True,False
0,3,87,74,76,True,True,False,False,False,False,True
1,4,52,65,69,True,True,False,True,False,False,False
0,2,66,57,52,True,True,False,False,False,False,True
1,2,63,78,80,True,False,False,False,True,False,False
1,3,46,58,57,True,True,False,False,True,False,False
1,2,59,71,70,True,True,False,False,True,False,False
1,4,61,72,70,True,True,False,True,False,False,False
0,3,63,61,61,True,True,True,False,False,False,False
1,2,42,66,69,False,False,False,False,True,False,False
0,2,59,62,61,False,True,False,False,False,True,False
1,2,80,90,89,True,True,False,False,False,True,False
1,1,58,62,59,True,True,False,True,False,False,False
0,0,85,84,78,True,False,False,True,False,False,False
1,2,52,58,58,True,True,False,False,True,False,False
1,0,27,34,32,False,True,False,False,False,True,False
0,2,59,60,58,True,True,False,False,True,False,False
0,4,49,58,60,False,False,True,False,False,False,False
0,1,69,58,53,True,False,False,False,True,False,False
0,4,61,66,61,False,True,False,False,True,False,False
1,0,44,64,58,False,True,True,False,False,False,False
1,0,73,84,85,True,True,False,False,False,True,False
0,2,84,77,71,True,True,False,False,False,False,True
1,2,45,73,70,False,False,False,False,True,False,False
0,0,74,74,72,True,True,False,False,False,True,False
1,2,82,97,96,True,False,False,False,False,True,False
1,4,59,70,73,True,True,False,False,False,True,False
0,3,46,43,41,False,True,False,False,False,False,True
1,0,80,90,82,True,True,False,False,False,True,False
1,5,85,95,100,False,False,False,False,False,True,False
1,0,71,83,77,True,True,True,False,False,False,False
0,4,66,64,62,True,True,True,False,False,False,False
1,3,80,86,83,True,True,False,True,False,False,False
0,3,87,100,95,True,False,False,False,True,False,False
0,5,79,81,71,False,True,False,False,True,False,False
1,0,38,49,45,False,True,False,False,False,False,True
1,0,38,43,43,False,True,True,False,False,False,False
1,2,67,76,75,True,True,False,False,False,False,True
1,4,64,73,70,True,True,False,False,False,False,True
1,3,57,78,67,False,True,False,False,True,False,False
1,1,62,64,64,True,True,False,False,False,True,False
0,5,73,70,75,True,True,False,False,False,True,False
0,0,73,67,59,False,False,False,False,False,False,True
1,2,77,68,77,True,True,False,False,False,True,False
0,2,76,67,67,True,True,False,False,False,False,True
0,3,57,54,56,True,False,False,False,True,False,False
1,0,65,74,77,True,False,False,False,True,False,False
0,1,48,45,41,False,True,True,False,False,False,False
1,1,50,67,63,False,True,False,True,False,False,False
1,3,85,89,95,True,True,False,False,True,False,False
0,0,74,63,57,True,True,False,True,False,False,False
0,0,60,59,54,True,True,False,False,False,True,False
1,0,59,54,67,True,False,False,False,True,False,False
0,2,53,43,43,True,True,True,False,False,False,False
1,2,49,65,55,False,True,True,False,False,False,False
1,1,88,99,100,True,False,False,False,False,True,False
1,1,54,59,62,True,True,False,False,True,False,False
1,0,63,73,68,True,True,False,False,True,False,False
0,3,65,65,63,True,False,False,True,False,False,False
1,3,82,80,77,True,True,False,True,False,False,False
1,1,52,57,56,False,False,False,False,False,True,False
0,3,87,84,85,True,False,False,False,False,True,False
1,5,70,71,74,True,False,False,False,False,True,False
0,2,84,83,78,True,False,False,False,False,False,True
0,3,71,66,60,True,True,False,False,False,True,False
0,0,63,67,67,True,False,False,True,False,False,False
1,4,51,72,79,False,False,False,False,True,False,False
0,1,84,73,69,True,True,False,False,False,False,True
0,4,71,74,68,True,False,False,False,True,False,False
0,3,74,73,67,True,True,False,False,True,False,False
0,2,68,59,62,True,True,False,False,False,True,False
0,1,57,56,54,False,False,False,False,False,False,True
1,3,82,93,93,False,False,False,False,True,False,False
1,1,57,58,64,True,False,False,False,False,True,False
1,5,47,58,67,False,False,False,False,False,True,False
1,0,59,85,80,True,False,True,False,False,False,False
0,2,41,39,34,False,True,False,True,False,False,False
1,2,62,67,62,False,True,False,False,True,False,False
0,4,86,83,86,True,True,False,False,True,False,False
0,0,69,71,65,False,True,False,False,True,False,False
0,0,65,59,53,False,True,True,False,False,False,False
0,0,68,63,54,False,True,False,False,True,False,False
0,3,64,66,59,False,True,False,False,True,False,False
1,1,61,72,70,True,True,False,False,True,False,False
0,1,61,56,55,True,True,False,False,True,False,False
1,0,47,59,50,False,True,True,False,False,False,False
0,0,73,66,66,True,True,False,False,True,False,False
0,2,50,48,53,False,False,False,False,True,False,False
0,3,75,68,64,True,True,False,False,False,True,False
0,3,75,66,73,False,True,False,False,False,True,False
0,1,70,56,51,True,True,False,False,True,False,False
0,0,89,88,82,True,False,False,False,False,True,False
1,2,67,81,79,True,False,False,False,True,False,False
1,1,78,81,80,True,True,False,False,False,True,False
1,0,59,73,69,False,True,True,False,False,False,False
1,3,73,83,76,True,True,False,True,False,False,False
0,0,79,82,73,False,True,True,False,False,False,False
1,0,67,74,77,True,False,False,False,True,False,False
0,2,69,66,60,False,True,False,False,False,True,False
0,1,86,81,80,True,False,False,False,True,False,False
0,1,47,46,42,True,True,False,True,False,False,False
0,3,81,73,72,True,True,False,True,False,False,False
1,2,64,85,85,False,False,False,False,True,False,False
1,2,100,92,97,True,True,False,False,False,False,True
1,3,65,77,74,False,True,False,False,True,False,False
0,2,65,58,49,False,True,False,False,True,False,False
1,3,53,61,62,False,True,False,False,True,False,False
0,4,37,56,47,False,True,False,False,True,False,False
1,4,79,89,89,True,True,False,False,False,True,False
0,3,53,54,48,False,True,False,False,False,True,False
1,4,100,100,100,True,True,False,False,False,False,True
0,1,72,65,68,True,False,False,True,False,False,False
0,4,53,58,55,False,True,False,False,True,False,False
0,2,54,54,45,False,True,False,True,False,False,False
1,2,71,70,76,True,True,False,False,False,False,True
1,2,77,90,91,False,True,False,False,True,False,False
0,4,75,58,62,True,False,True,False,False,False,False
1,2,84,87,91,True,True,False,False,True,False,False
1,3,26,31,38,False,True,False,False,False,True,False
0,1,72,67,65,False,False,True,False,False,False,False
1,1,77,88,85,False,False,True,False,False,False,False
0,2,91,74,76,True,True,False,False,True,False,False
1,3,83,85,90,True,False,False,False,True,False,False
1,1,63,69,74,True,True,False,False,True,False,False
1,3,68,86,84,True,False,False,False,True,False,False
1,0,59,67,61,True,True,False,False,False,True,False
1,3,90,90,91,True,False,False,True,False,False,False
1,4,71,76,83,True,False,False,False,False,True,False
0,4,76,62,66,True,False,False,False,False,False,True
0,3,80,68,72,True,True,False,False,False,True,False
1,5,55,64,70,True,True,False,False,False,True,False
0,3,76,71,67,True,True,False,False,False,False,True
0,1,73,71,68,True,False,False,True,False,False,False
1,3,52,59,56,False,True,False,False,False,True,False
0,2,68,68,61,False,True,False,False,True,False,False
0,1,59,52,46,True,True,True,False,False,False,False
1,3,49,52,54,True,True,False,True,False,False,False
0,1,70,74,71,True,True,False,False,True,False,False
0,2,61,47,56,False,True,False,False,False,True,False
1,3,60,75,74,False,True,False,False,True,False,False
0,0,64,53,57,True,False,False,True,False,False,False
0,3,79,82,82,False,False,True,False,False,False,False
1,3,65,85,76,False,True,True,False,False,False,False
1,3,64,64,70,True,True,False,False,True,False,False
1,2,83,83,90,True,True,False,False,True,False,False
1,4,81,88,90,True,True,False,False,True,False,False
1,1,54,64,68,True,True,False,True,False,False,False
0,1,68,64,66,True,False,False,False,False,True,False
1,2,54,48,52,True,True,False,False,True,False,False
1,2,59,78,76,False,False,False,False,False,True,False
1,0,66,69,68,True,True,False,True,False,False,False
0,2,76,71,72,True,True,False,False,False,False,True
1,5,74,79,82,True,True,False,False,False,True,False
1,3,94,87,92,True,False,False,True,False,False,False
0,2,63,61,54,False,True,False,False,True,False,False
1,3,95,89,92,True,False,False,False,False,False,True
1,5,40,59,54,False,True,False,False,False,True,False
1,0,82,82,80,True,True,False,True,False,False,False
0,1,68,70,66,True,True,True,False,False,False,False
0,4,55,59,54,False,True,False,True,False,False,False
0,5,79,78,77,True,True,False,False,True,False,False
1,4,86,92,87,True,True,False,False,True,False,False
0,2,76,71,73,True,True,False,False,False,True,False
0,0,64,50,43,True,True,True,False,False,False,False
0,0,62,49,52,False,True,False,False,False,True,False
1,0,54,61,62,True,False,False,True,False,False,False
1,5,77,97,94,False,False,False,True,False,False,False
1,0,76,87,85,True,False,False,False,True,False,False
1,2,74,89,84,True,True,False,False,False,True,False
1,2,66,74,73,True,False,False,False,False,False,True
1,0,66,78,78,True,False,False,False,False,True,False
1,1,67,78,79,False,False,False,True,False,False,False
0,2,71,49,52,True,True,False,False,False,True,False
1,3,91,86,84,True,True,False,False,True,False,False
0,4,69,58,57,True,True,False,False,False,True,False
0,5,54,59,50,False,True,False,False,True,False,False
0,1,53,52,49,True,False,False,False,True,False,False
0,2,68,60,59,True,True,False,False,False,False,True
0,0,56,61,60,False,False,False,False,True,False,False
1,1,36,53,43,False,True,False,False,True,False,False
1,4,29,41,47,False,True,False,False,False,True,False
1,3,62,74,70,True,True,False,False,True,False,False
1,3,68,67,73,True,False,False,False,True,False,False
1,0,47,54,53,True,True,False,False,True,False,False
0,3,62,61,58,True,False,False,False,False,False,True
1,3,79,88,94,True,False,False,False,False,False,True
0,1,73,69,68,True,False,False,True,False,False,False
1,4,66,83,83,False,False,False,False,True,False,False
0,3,51,60,58,True,False,False,False,True,False,False
1,1,51,66,62,True,True,False,False,False,True,False
0,4,85,66,71,True,False,False,False,False,False,True
0,3,97,92,86,True,False,True,False,False,False,False
0,1,75,69,68,True,False,False,False,True,False,False
0,3,79,82,80,False,False,False,False,False,True,False
1,3,81,77,79,True,True,False,False,True,False,False
1,3,82,95,89,True,True,False,False,False,True,False
1,5,64,63,66,True,True,False,False,False,True,False
0,0,78,83,80,False,False,False,False,False,False,True
1,0,92,100,97,True,False,True,False,False,False,False
0,1,72,67,64,True,False,False,False,True,False,False
1,1,62,67,64,False,True,False,False,True,False,False
0,5,79,72,69,True,True,False,False,True,False,False
0,0,79,76,65,False,True,False,False,True,False,False
0,4,87,90,88,False,False,False,True,False,False,False
1,3,40,48,50,True,True,False,True,False,False,False
0,2,77,62,64,False,True,False,False,False,True,False
0,3,53,45,40,True,True,False,False,False,False,True
1,2,32,39,33,False,True,False,False,True,False,False
1,3,55,72,79,True,False,False,False,True,False,False
0,5,61,67,66,False,True,False,False,True,False,False
1,3,53,70,70,False,True,False,True,False,False,False
0,0,73,66,62,True,True,False,False,False,True,False
1,2,74,75,79,True,False,False,False,False,True,False
1,2,63,74,74,True,True,False,False,True,False,False
0,4,96,90,92,True,False,False,False,True,False,False
1,2,63,80,80,False,False,False,False,False,True,False
0,4,48,51,46,False,True,False,True,False,False,False
0,3,48,43,45,True,True,False,True,False,False,False
1,4,92,100,100,False,False,False,False,False,False,True
1,5,61,71,78,False,False,False,False,False,True,False
0,1,63,48,47,False,True,False,True,False,False,False
0,4,68,68,67,False,True,False,False,False,True,False
0,2,71,75,70,True,False,False,True,False,False,False
0,4,91,96,92,True,True,True,False,False,False,False
1,2,53,62,56,True,True,False,False,True,False,False
1,1,50,66,64,False,False,False,False,True,False,False
1,1,74,81,71,True,True,False,False,False,False,True
